date,home_team,score,away_team
14-08-2022,Almeria,Real Madrid,1 - 2
22-08-2022,Elche,Almeria,? - ?
15-08-2022,Ath Bilbao,Mallorca,0 - 0
21-08-2022,Ath Bilbao,Valencia,1 - 0
21-08-2022,Ath Bilbao,Valencia,? - ?
15-08-2022,Getafe,Ath Madrid,0 - 3
21-08-2022,Ath Madrid,Villarreal,0 - 2
21-08-2022,Ath Madrid,Villarreal,? - ?
13-08-2022,Barcelona,Vallecano,0 - 0
21-08-2022,Sociedad,Barcelona,1 - 4
21-08-2022,Sociedad,Barcelona,? - ?
15-08-2022,Betis,Elche,3 - 0
20-08-2022,Mallorca,Betis,1 - 2
26-08-2022,Betis,Osasuna,? - ?
14-08-2022,Cadiz,Sociedad,0 - 1
20-08-2022,Osasuna,Cadiz,2 - 0
02-09-2022,Celta,Cadiz,? - ?
13-08-2022,Celta,Espanol,2 - 2
20-08-2022,Celta,Real Madrid,1 - 4
02-09-2022,Celta,Cadiz,? - ?
15-08-2022,Betis,Elche,3 - 0
22-08-2022,Elche,Almeria,? - ?
13-08-2022,Celta,Espanol,2 - 2
19-08-2022,Espanol,Vallecano,0 - 2
28-08-2022,Espanol,Real Madrid,? - ?
15-08-2022,Getafe,Ath Madrid,0 - 3
22-08-2022,Girona,Getafe,? - ?
14-08-2022,Valencia,Girona,1 - 0
22-08-2022,Girona,Getafe,? - ?
15-08-2022,Ath Bilbao,Mallorca,0 - 0
20-08-2022,Mallorca,Betis,1 - 2
27-08-2022,Vallecano,Mallorca,? - ?
12-08-2022,Osasuna,Sevilla,2 - 1
20-08-2022,Osasuna,Cadiz,2 - 0
26-08-2022,Betis,Osasuna,? - ?
14-08-2022,Almeria,Real Madrid,1 - 2
20-08-2022,Celta,Real Madrid,1 - 4
28-08-2022,Espanol,Real Madrid,? - ?
12-08-2022,Osasuna,Sevilla,2 - 1
19-08-2022,Sevilla,Valladolid,1 - 1
14-08-2022,Cadiz,Sociedad,0 - 1
21-08-2022,Sociedad,Barcelona,1 - 4
21-08-2022,Sociedad,Barcelona,? - ?
14-08-2022,Valencia,Girona,1 - 0
21-08-2022,Ath Bilbao,Valencia,1 - 0
21-08-2022,Ath Bilbao,Valencia,? - ?
13-08-2022,Valladolid,Villarreal,0 - 3
19-08-2022,Sevilla,Valladolid,1 - 1
13-08-2022,Barcelona,Vallecano,0 - 0
19-08-2022,Espanol,Vallecano,0 - 2
27-08-2022,Vallecano,Mallorca,? - ?
13-08-2022,Valladolid,Villarreal,0 - 3
21-08-2022,Ath Madrid,Villarreal,0 - 2
21-08-2022,Ath Madrid,Villarreal,? - ?
